(.venv) ➜  v2_imagenet_kmeans git:(main) ✗ python imagenet_hebbian_deep_encode.py                                                                                                                                                                 <aws:kenny> <region:us-west-2>
[LOG] Step 0: energy=0.1461, delta=0.000164, norm=154.1754
[LOG] Step 35: energy=0.1474, delta=0.000168, norm=154.6512
[LOG] Step 36: energy=0.1473, delta=0.000168, norm=154.6638
[LOG] Step 37: energy=0.1491, delta=0.000170, norm=154.6784
[LOG] Step 38: energy=0.1474, delta=0.000168, norm=154.6922
[LOG] Step 39: energy=0.1466, delta=0.000166, norm=154.7049
[LOG] Step 40: energy=0.1478, delta=0.000166, norm=154.7192
[LOG] Step 41: energy=0.1467, delta=0.000169, norm=154.7328
[LOG] Step 42: energy=0.1495, delta=0.000165, norm=154.7463
[LOG] Step 43: energy=0.1484, delta=0.000169, norm=154.7597
[LOG] Step 44: energy=0.1468, delta=0.000168, norm=154.7729
[LOG] Step 45: energy=0.1448, delta=0.000166, norm=154.7857
[LOG] Step 46: energy=0.1462, delta=0.000168, norm=154.7997
[LOG] Step 47: energy=0.1467, delta=0.000170, norm=154.8134
[LOG] Step 48: energy=0.1449, delta=0.000164, norm=154.8263
[LOG] Step 49: energy=0.1441, delta=0.000168, norm=154.8398
[LOG] Step 50: energy=0.1479, delta=0.000168, norm=154.8516
[LOG] Step 51: energy=0.1479, delta=0.000167, norm=154.8650
[LOG] Step 52: energy=0.1482, delta=0.000169, norm=154.8788
[LOG] Step 53: energy=0.1481, delta=0.000167, norm=154.8919
[LOG] Step 54: energy=0.1486, delta=0.000170, norm=154.9052
[LOG] Step 55: energy=0.1463, delta=0.000164, norm=154.9176
[LOG] Step 56: energy=0.1488, delta=0.000167, norm=154.9304
[LOG] Step 57: energy=0.1465, delta=0.000170, norm=154.9438
[LOG] Step 58: energy=0.1459, delta=0.000164, norm=154.9567
[LOG] Step 59: energy=0.1461, delta=0.000164, norm=154.9698
[LOG] Step 60: energy=0.1504, delta=0.000171, norm=154.9823
[LOG] Step 61: energy=0.1472, delta=0.000165, norm=154.9956
[LOG] Step 62: energy=0.1479, delta=0.000166, norm=155.0083
[LOG] Step 63: energy=0.1488, delta=0.000170, norm=155.0214
[LOG] Step 64: energy=0.1501, delta=0.000170, norm=155.0349
[LOG] Step 65: energy=0.1499, delta=0.000171, norm=155.0474
[LOG] Step 66: energy=0.1485, delta=0.000166, norm=155.0610
[LOG] Step 67: energy=0.1452, delta=0.000168, norm=155.0742
[LOG] Step 68: energy=0.1479, delta=0.000168, norm=155.0865
[LOG] Step 69: energy=0.1500, delta=0.000167, norm=155.0988
[LOG] Step 70: energy=0.1450, delta=0.000166, norm=155.1125
[LOG] Step 71: energy=0.1470, delta=0.000168, norm=155.1245
[LOG] Step 72: energy=0.1469, delta=0.000167, norm=155.1377
[LOG] Step 73: energy=0.1486, delta=0.000168, norm=155.1507
[LOG] Step 74: energy=0.1498, delta=0.000166, norm=155.1630
[LOG] Step 75: energy=0.1496, delta=0.000169, norm=155.1769
[LOG] Step 76: energy=0.1468, delta=0.000167, norm=155.1887
[LOG] Step 77: energy=0.1451, delta=0.000166, norm=155.2016
[LOG] Step 78: energy=0.1507, delta=0.000170, norm=155.2146
[LOG] Step 79: energy=0.1473, delta=0.000169, norm=155.2275
[LOG] Step 80: energy=0.1477, delta=0.000169, norm=155.2392
[LOG] Step 81: energy=0.1476, delta=0.000169, norm=155.2540
[LOG] Step 82: energy=0.1466, delta=0.000168, norm=155.2662
[LOG] Step 83: energy=0.1474, delta=0.000169, norm=155.2790
[LOG] Step 84: energy=0.1446, delta=0.000165, norm=155.2917
[LOG] Step 85: energy=0.1488, delta=0.000168, norm=155.3041
[LOG] Step 86: energy=0.1467, delta=0.000167, norm=155.3169
[LOG] Step 87: energy=0.1461, delta=0.000170, norm=155.3310
[LOG] Step 88: energy=0.1472, delta=0.000170, norm=155.3432
[LOG] Step 89: energy=0.1486, delta=0.000167, norm=155.3558
[LOG] Step 90: energy=0.1440, delta=0.000163, norm=155.3678
[LOG] Step 91: energy=0.1446, delta=0.000169, norm=155.3820
[LOG] Step 92: energy=0.1447, delta=0.000169, norm=155.3952
[LOG] Step 93: energy=0.1474, delta=0.000167, norm=155.4067
[LOG] Step 94: energy=0.1483, delta=0.000167, norm=155.4196
[LOG] Step 95: energy=0.1486, delta=0.000171, norm=155.4326
[LOG] Step 96: energy=0.1450, delta=0.000166, norm=155.4451
[LOG] Step 97: energy=0.1459, delta=0.000168, norm=155.4582
[LOG] Step 98: energy=0.1491, delta=0.000173, norm=155.4709
[LOG] Step 99: energy=0.1454, delta=0.000168, norm=155.4834
[LOG] Step 100: energy=0.1471, delta=0.000170, norm=155.4968
[LOG] Step 101: energy=0.1433, delta=0.000167, norm=155.5092
[LOG] Step 102: energy=0.1445, delta=0.000164, norm=155.5212
[LOG] Step 103: energy=0.1495, delta=0.000170, norm=155.5344
[LOG] Step 104: energy=0.1484, delta=0.000171, norm=155.5470
[LOG] Step 105: energy=0.1442, delta=0.000167, norm=155.5602
[LOG] Step 106: energy=0.1485, delta=0.000170, norm=155.5729
[LOG] Step 107: energy=0.1462, delta=0.000168, norm=155.5849
[LOG] Step 108: energy=0.1456, delta=0.000168, norm=155.5979
[LOG] Step 109: energy=0.1492, delta=0.000171, norm=155.6111
[LOG] Step 110: energy=0.1507, delta=0.000171, norm=155.6237
[LOG] Step 111: energy=0.1475, delta=0.000170, norm=155.6367
[LOG] Step 112: energy=0.1449, delta=0.000168, norm=155.6494
[LOG] Step 113: energy=0.1464, delta=0.000168, norm=155.6622
[LOG] Step 114: energy=0.1438, delta=0.000167, norm=155.6749
[LOG] Step 115: energy=0.1451, delta=0.000169, norm=155.6870
[LOG] Step 116: energy=0.1453, delta=0.000170, norm=155.7009
[LOG] Step 117: energy=0.1456, delta=0.000171, norm=155.7129
[LOG] Step 118: energy=0.1432, delta=0.000166, norm=155.7259
[LOG] Step 119: energy=0.1475, delta=0.000168, norm=155.7379
[LOG] Step 120: energy=0.1456, delta=0.000168, norm=155.7504
[LOG] Step 121: energy=0.1430, delta=0.000165, norm=155.7625
[LOG] Step 122: energy=0.1466, delta=0.000166, norm=155.7744
[LOG] Step 123: energy=0.1448, delta=0.000167, norm=155.7876
[LOG] Step 124: energy=0.1453, delta=0.000165, norm=155.7993
/Users/kenny/code/ai/hebbian_image_encoder/.venv/lib/python3.9/site-packages/sklearn/utils/deprecation.py:151: FutureWarning: 'force_all_finite' was renamed to 'ensure_all_finite' in 1.6 and will be removed in 1.8.
  warnings.warn(
/Users/kenny/code/ai/hebbian_image_encoder/.venv/lib/python3.9/site-packages/umap/umap_.py:1952: UserWarning: n_jobs value 1 overridden to 1 by setting random_state. Use no seed for parallelism.
  warn(
[SAVED] tinyimagenet_hebbian_cluster_plot.png
